original_varname,acc_varname,groupid
Taraxacum type,Crepis-type,HERB
Taraxacum-type,Crepis-type,HERB
Crocus,Crocus,HERB
Crypteronia,Crypteronia,HERB
Cryptogramma,Cryptogramma crispa,VACR
Cryptogramma crispa,Cryptogramma crispa,VACR
Cryptomeria japonica,Cryptomeria japonica,TRSH
Cryptomeria,Cryptomeria-type,TRSH
Cryptomeria-type,Cryptomeria-type,TRSH
Cucumis,Cucumis,HERB
Cucumis,Cucumis,LIAN
Actinostemma-Gynostemma,Cucurbitaceae,HERB
Cucurbitaceae,Cucurbitaceae,HERB
Cunninghamia,Cunninghamia,TRSH
CUPRESSACEAE,Cupressaceae undiff.,TRSH
Cupressaceae,Cupressaceae undiff.,TRSH
Cuscuta,Cuscuta,LIAN
Cuscuta,Cuscuta,HERB
Cuscuta europaea T,Cuscuta europaea-type,HERB
Cuscuta europaea-type,Cuscuta europaea-type,HERB
Cuscuta europaea-type,Cuscuta europaea-type,LIAN
Oscillatoria,Cyanobacteria,CYAN
Cycas,Cycas,SEED
CYCLAMEN,Cyclamen,HERB
Cyclamen,Cyclamen,HERB
Cyclamen hederifolium,Cyclamen hederifolium,HERB
Cyclocarya,Cyclocarya,TRSH
Cymatiosphaera globulosa,Cymatiosphaera globulosa,ACRI
Cynoglossum creticum,Cynoglossum creticum-type,HERB
Cynoglossum,Cynoglossum-type,HERB
Cynoglossum tp.,Cynoglossum-type,HERB
Cynomorium,Cynomorium,HERB
CYPERACEAE,Cyperaceae,HERB
CYPERACEAE/JUNCACEAE,Cyperaceae,HERB
Cyperaceae,Cyperaceae,HERB
Cyperaceae,Cyperaceae,AQUA
Cyperaceae class 1,Cyperaceae,HERB
Cyperaceae class 2,Cyperaceae,HERB
Cyperaceae class 3,Cyperaceae,HERB
Cyperaceae class 4,Cyperaceae,HERB
Cyperaceae undiff,Cyperaceae,HERB
Cyperaceae undiff.,Cyperaceae,HERB
Cyperaceae undiff.,Cyperaceae,AQUA
Cyperaceae+Cyperus,Cyperaceae,HERB
Cyperaceae+Typha,Cyperaceae,HERB
Cyperus,Cyperus,HELO
Cyperus,Cyperus,AQUA
Cyperus longus-type,Cyperus,AQUA
Cyperus-type,Cyperus,AQUA
CYSTOPTERIS,Cystopteris,VACR
Cystopteris,Cystopteris,VACR
Cystopteris-type,Cystopteris,VACR
Cysto._f-s,Cystopteris fragilis,VACR
Cystopteris fragilis,Cystopteris fragilis,VACR
Cytinus  hypocistis t.,Cytinus,HERB
Cytinus hypocistis-type,Cytinus,HERB
Cytisus type,Cytisus-type,TRSH
Cytisus-type,Cytisus-type,TRSH
Dacrydium,Dacrydium,TRSH
Dalbergia,Dalbergia,TRSH
Damnacanthus,Damnacanthus,TRSH
Daphne,Daphne,TRSH
Daphne,Daphne,DWAR
Daphne gnidium,Daphne,HERB
Daphne gnidium t.,Daphne,TRSH
Daphne gnidium-type,Daphne,DWAR
Daphne type,Daphne,TRSH
Daphniphyllum,Daphniphyllum,TRSH
Datisca,Datisca cannabina,HERB
Datura,Datura,HERB
Daucus,Daucus,HERB
Daucus carota,Daucus,HERB
Daucus carota-type,Daucus,HERB
Daucus t.,Daucus,HERB
Davallia,Davallia,VACR
Debarya,Debarya,FUNG
Decaspermum,Decaspermum,TRSH
Deciduous tree: seed,Deciduous tree: seed,MACR
Type UG 1066 Delitschia spp.,Delitschia spp.,FUNG
Dendropanax,Dendropanax,TRSH
Deposition time (yr/cm),Deposition time (yr/cm),NOPO
Desmidiaceae,Desmidiaceae,ALGA
Desmodium,Desmodium,TRSH
Dianthus,Dianthus/Petrorhagia,HERB
Dianthus superbus-type,Dianthus/Petrorhagia,HERB
Dianthus-type,Dianthus/Petrorhagia,HERB
Diatoms,Diatoms,ALGA
Dicranum,Dicranum,BRYO
Difflugia pyriformis,Difflugia pyriformis,RHIZ
Digitalis,Digitalis,HERB
Digitalis purpurea-type,Digitalis,HERB
Digitalis-type,Digitalis-type,HERB
Dimocarpus-confinis,Dimocarpus fumatus,TRSH
Dinoflagellate (theca),Dinoflagellates,DINO
Dinoflagellates,Dinoflagellates,DINO
Dinoflagellati,Dinoflagellates,DINO
Diospyros,Diospyros,TRSH
Diospyros clumps,Diospyros,TRSH
Hainania,Diplodiscus trichospermus,TRSH
Diplospora,Diplospora,TRSH
Diporotheca,Diporotheca,FUNG
Type 143: Asc. of Diporotheca,Diporotheca,FUNG
DIPSACACEAE,Dipsacaceae,HERB
Dipsacaceae,Dipsacaceae,HERB
Dipsacaceae indet.,Dipsacaceae,HERB
Dipsacaceae undiff.,Dipsacaceae,HERB
Dipsacus fullonum t.,Dipsacus fullonum-type,HERB
Dipsacus fullonum-type,Dipsacus fullonum-type,HERB
Dipsacus,Dipsacus-type,HERB
Dipsacus-type,Dipsacus-type,HERB
Distylium,Distylium,TRSH
Dodonaea,Dodonaea,TRSH
Doronicum,Doronicum,HERB
Doronicum-type,Doronicum,HERB
Drosera,Drosera,AQUA
Drosera,Drosera,HERB
Drosera cf. D. rotundifolia,Drosera,HERB
Drosera undif.,Drosera,AQUA
Droseraceae,Drosera,AQUA
Drosera longifolia t.,Drosera anglica,HELO
Drosera intermedia,Drosera intermedia,HELO
Drosera rotundifolia,Drosera rotundifolia-type,HERB
Drosera rotundifolia,Drosera rotundifolia-type,HELO
Drosera rotundifolia t.,Drosera rotundifolia-type,HELO
Drosera rotundifolia-type,Drosera rotundifolia-type,HERB
Drosera rotundifolia-type,Drosera rotundifolia-type,HELO
Drosera rotundifolia/D. anglica,Drosera rotundifolia-type,HERB
Dryas,Dryas octopetala,HERB
Dryas octopetala,Dryas octopetala,HERB
Rosaceae Dryas,Dryas octopetala,HERB
Dry-s_c-a,Dryopteris cristata-type,VACR
Dry-s_sp-a,Dryopteris cristata-type,VACR
Dryopteris carthusiana,Dryopteris cristata-type,VACR
Dryopteris carthusiana-type,Dryopteris cristata-type,VACR
Dryopteris cristata,Dryopteris cristata-type,VACR
Dryopteris cristata type,Dryopteris cristata-type,VACR
Dryopteris dilatata,Dryopteris dilatata,VACR
Dryopteris dilatata-type,Dryopteris dilatata,VACR
Dryopteris dilitata,Dryopteris dilatata,VACR
Dryopteris expansa,Dryopteris dilatata,VACR
Dry-s_f.-m,Dryopteris filix-mas-type,VACR
Dryopteris filix mas t.,Dryopteris filix-mas-type,VACR
Dryopteris filix-mas,Dryopteris filix-mas-type,VACR
Dryopteris filix-mas type,Dryopteris filix-mas-type,VACR
Dryopteris filix-mas type clumps of two,Dryopteris filix-mas-type,VACR
Dryopteris filix-mas-type,Dryopteris filix-mas-type,VACR
Dryopteris fragrans,Dryopteris fragrans,VACR
DRYOPTERIS,Dryopteris-type,VACR
Dry-s,Dryopteris-type,VACR
Dryopteris,Dryopteris-type,VACR
Dryopteris dilatata/cristata t.,Dryopteris-type,VACR
Dryopteris f-m,Dryopteris-type,VACR
Dryopteris f.-m.,Dryopteris-type,VACR
Dryopteris t.,Dryopteris-type,VACR
Dryopteris type,Dryopteris-type,VACR
Dryopteris undiff.,Dryopteris-type,VACR
Dryopteris-type,Dryopteris-type,VACR
Dryopteris/Thelypteris,Dryopteris-type,VACR
DryopterisT,Dryopteris-type,VACR
Dryópteris,Dryopteris-type,VACR
EMA 6,EMA 6,INUN
EMA 9,EMA 9,INUN
EMA6,EMA6,INUN
Ebenaceae,Ebenaceae,TRSH
Asteraceae. Echinops,Echinops,HERB
Echinops,Echinops,HERB
Echium,Echium,HERB
Echium vulgare,Echium,HERB
Echium vulgare-type,Echium,HERB
Echium-type,Echium/Onosma,HERB
Onosma-type,Echium/Onosma,HERB
Eggs,Eggs: indeterminable,INUN
Elaeagnaceae,Elaeagnaceae,TRSH
Eleaegnaceae,Elaeagnaceae,TRSH
Elaeagnus,Elaeagnus,TRSH
Elaeagnus angustifolia,Elaeagnus,TRSH
Elaeagnus t.,Elaeagnus type,TRSH
Elaeocarpaceae,Elaeocarpaceae,TRSH
Elaeocarpus,Elaeocarpus,TRSH
Elater,Elater,MACR
Elatine,Elatine,AQUA
Eleocharis palustris,Eleocharis palustris,AQUA
Elodea,Elodea,AQUA
Elsholtzia,Elsholtzia,HERB
Elytranthe,Elytranthe,TRSH
Emex spinosa,Emex spinosa,HERB
EMPETRUM NIGRUM,Empetrum nigrum,DWAR
Empetrum,Empetrum nigrum,DWAR
Empetrum cf. E. nigrum,Empetrum nigrum,DWAR
Empetrum nigrum,Empetrum nigrum,DWAR
Empetrum nigrum-type,Empetrum nigrum,DWAR
Empetrum-group,Empetrum nigrum,DWAR
Emphetrum nigrum,Empetrum nigrum,DWAR
Ericaceae empetrum-type,Empetrum nigrum,DWAR
Empetrum-type,Empetrum/Ledum,DWAR
Empetrum/Ledum,Empetrum/Ledum,DWAR
Ledum,Empetrum/Ledum,DWAR
Ledum-type,Empetrum/Ledum,DWAR
Encalypta,Encalypta,BRYO
Endospermum,Endospermum,TRSH
Engelhardtia,Engelhardtia,TRSH
Eomecon,Eomecon,HERB
Ephedra,Ephedra,TRSH
Ephedra fragilis,Ephedra,TRSH
Ephedra-type,Ephedra,HERB
Ephedraceae,Ephedra,TRSH
cf. Ephedra fragilis,Ephedra,INUN
E. alata-t.,Ephedra alata-type,TRSH
E. alata-type,Ephedra alata-type,TRSH
Ephedra alata-type,Ephedra alata-type,TRSH
EPHEDRA DISTACHYA type,Ephedra distachya-type,TRSH
Ephedra distachia-type,Ephedra distachya-type,TRSH
Ephedra distachya,Ephedra distachya-type,TRSH
Ephedra distachya t.,Ephedra distachya-type,TRSH
Ephedra distachya type,Ephedra distachya-type,TRSH
Ephedra distachya-t.,Ephedra distachya-type,TRSH
Ephedra distachya-type,Ephedra distachya-type,TRSH
Ephedra distahia,Ephedra distachya-type,TRSH
Ephedra dystachia type,Ephedra distachya-type,TRSH
Ephedra major,Ephedra distachya-type,TRSH
Ephedra major-t.,Ephedra distachya-type,TRSH
Ephedra major-type,Ephedra distachya-type,TRSH
Ephedra-distachya,Ephedra distachya-type,TRSH
Ephedra-equisetina,Ephedra equisetina,TRSH
E. fragilis-t.,Ephedra fragilis-type,TRSH
EPHEDRA FRAGILIS type,Ephedra fragilis-type,TRSH
Ephedra fragilis,Ephedra fragilis-type,TRSH
Ephedra fragilis  type,Ephedra fragilis-type,TRSH
Ephedra fragilis subsp. campylopoda,Ephedra fragilis-type,TRSH
Ephedra fragilis t.,Ephedra fragilis-type,TRSH
Ephedra fragilis type,Ephedra fragilis-type,TRSH
Ephedra fragilis-type,Ephedra fragilis-type,TRSH
Ephedra fragilisse,Ephedra fragilis-type,TRSH
Ephedra-fragilis,Ephedra fragilis-type,TRSH
Chamaenerion,Epilobium,HERB
Chamenerion,Epilobium,HERB
Epilobium,Epilobium,HERB
Epilobium cf palustre,Epilobium,HERB
Epilobium type,Epilobium,HERB
Epilobium undiff.,Epilobium,HERB
Epilobium-type,Epilobium,HERB
Chamaenerion angustifolium,Epilobium angustifolium-type,HERB
Chamaenerion-angustifolium,Epilobium angustifolium-type,HERB
Chamerion angustifolium subsp. Angustifolium,Epilobium angustifolium-type,HERB
EPILOBIUM angustif.,Epilobium angustifolium-type,HERB
Epipactis,Epipactis,HERB
Epipactis palustris,Epipactis,HERB
Epiprinus,Epiprinus,TRSH
EQUISETUM,Equisetum,VACR
Equesetum,Equisetum,VACR
Equisetaceae,Equisetum,VACR
Equisetum,Equisetum,VACR
Equisitum,Equisetum,VACR
Eranthemum,Eranthemum,TRSH
Eremurus,Eremurus,HERB
ERICA indiff.,Erica,TRSH
Erica,Erica,TRSH
Erica,Erica,DWAR
Erica cinerea/E. tetralix,Erica,TRSH
Erica type,Erica,TRSH
Erica undiff.,Erica,DWAR
Erica-type,Erica,TRSH
ERICA arborea,Erica arborea-type,TRSH
Erica arborea,Erica arborea-type,TRSH
Erica arborea,Erica arborea-type,DWAR
Erica arborea t.,Erica arborea-type,TRSH
Erica arborea-type,Erica arborea-type,DWAR
Erica arborea-type,Erica arborea-type,TRSH
Erica arborea/multiflora,Erica arborea-type,TRSH
Erica cf. E. arborea/multiflora,Erica arborea-type,TRSH
Erica lusitanica,Erica arborea-type,DWAR
Erica lusitanica-type,Erica arborea-type,TRSH
Erica scoparia t.,Erica arborea-type,TRSH
Erica scoparia-type,Erica arborea-type,DWAR
ERICA carnea,Erica carnea,TRSH
Cassiope,Erica ciliaris-type,DWAR
Cassiope-type,Erica ciliaris-type,DWAR
Chamaedaphne,Erica ciliaris-type,DWAR
Erica australis,Erica ciliaris-type,DWAR
Erica australis t.,Erica ciliaris-type,DWAR
Erica australis-type,Erica ciliaris-type,DWAR
Erica erigena-type,Erica ciliaris-type,TRSH
Erica cinerea,Erica cinerea,DWAR
Erica cinerea t.,Erica cinerea,DWAR
Erica cinerea-type,Erica cinerea,TRSH
Erica tetralix,Erica tetralix-type,DWAR
Erica tetralix type,Erica tetralix-type,DWAR
Erica tetralix-type,Erica tetralix-type,DWAR
Erica umbellata,Erica umbellata,DWAR
Erica umbellata t.,Erica umbellata,DWAR
Erica umbellata-type,Erica umbellata,DWAR
Erica: seed,Erica: seed,MACR
Calluna-type,Ericales (tetrad),DWAR
ERICACEAE,Ericales (tetrad),DWAR
ERICACEAE indiff.,Ericales (tetrad),DWAR
ERICALES,Ericales (tetrad),DWAR
Ericaceae,Ericales (tetrad),DWAR
Ericaceae B,Ericales (tetrad),TRSH
Ericaceae cf. Ledum,Ericales (tetrad),TRSH
Ericaceae sensu lato,Ericales (tetrad),DWAR
Ericaceae undiff.,Ericales (tetrad),DWAR
Ericaceae undifferentiated,Ericales (tetrad),DWAR
Ericaceae-type,Ericales (tetrad),DWAR
Ericaceae__1,Ericales (tetrad),DWAR
Ericales,Ericales (tetrad),DWAR
Ericales (tetrad),Ericales (tetrad),DWAR
Ericales undiff.,Ericales (tetrad),DWAR
Ledum+Oxycoccus+Rhododendron+Vaccinium,Ericales (tetrad),DWAR
Rhododendron ? 22 TE,Ericales (tetrad),DWAR
Vacci-eae,Ericales (tetrad),DWAR
Vacciniaceae,Ericales (tetrad),DWAR
cf. Arbutus,Ericales (tetrad),INUN
cf. Cassiope,Ericales (tetrad),INUN
ricales,Ericales (tetrad),DWAR
Eriophorum angustifolium/E. vaginatum,Eriophorum-type,AQUA
Eriophorum-type,Eriophorum-type,HELO
Eriophorum-type,Eriophorum-type,AQUA
Erodium,Erodium,HERB
cf Erodium,Erodium,HERB
"Apiaceae, Eryngium",Eryngium,HERB
Eryngium,Eryngium,HERB
Eryngium campestre-type,Eryngium,HERB
Eryngium ilicifolium,Eryngium,HERB
Eryngium t.,Eryngium,HERB
Encalyptus,Eucalyptus,TRSH
Eucalyptus,Eucalyptus,TRSH
Eucalyptus (grains/g of tablet),Eucalyptus (grains/g of tablet),NOPO
Eucalyptus spike (added),Eucalyptus spike (added),NOPO
Eucalyptus,Eucalyptus spike (counted),NOPO
Eucalyptus (spike),Eucalyptus spike (counted),NOPO
Eucalyptus count,Eucalyptus spike (counted),NOPO
Eucalyptus spike (counted),Eucalyptus spike (counted),NOPO
Eucalyptus tablets,Eucalyptus tablets,NOPO
Eucommiaceae,Eucommiaceae,TRSH
Euglypha,Euglypha,RHIZ
Euonymus,Euonymus,TRSH
EUPHORBIA,Euphorbia,HERB
Euphorbia,Euphorbia,HERB
Euphorbia type,Euphorbia,HERB
Euphorbia/Mercurialis,Euphorbia/Mercurialis,HERB
Euphor-eae,Euphorbiaceae,HERB
Euphorbiaceae,Euphorbiaceae,HERB
Euphorbiaceae undiff.,Euphorbiaceae,HERB
Euphorbiaceae..tropical.,Euphorbiaceae,HERB
Euphorbiaceae..unclear.,Euphorbiaceae,HERB
Alchornea,Euphorbiaceae (tropical),TRSH
Antidesma,Euphorbiaceae (tropical),TRSH
Euphrasia,Euphrasia,HERB
Euptelea,Euptelea,HERB
Eurya,Eurya,TRSH
Thellungiella,Eutrema,HERB
Exbucklandia,Exbucklandia,TRSH
Excoecaria,Excoecaria agallocha,TRSH
Excoecaria-agallocha,Excoecaria agallocha,TRSH
Exotic concentration,Exotic concentration,NOPO
Exotic grains,Exotic grains,NOPO
added Exototic marker,Exotics (added),NOPO
exot added,Exotics (added),NOPO
Exotic,Exotics (counted),NOPO
Exotic counted,Exotics (counted),NOPO
Exotics (counted),Exotics (counted),NOPO
counted Exotic marker,Exotics (counted),NOPO
exot counted,Exotics (counted),NOPO
FABACEAE,Fabaceae,HERB
Fabaceaa,Fabaceae,HERB
Fabaceae,Fabaceae,INUN
Fabaceae,Fabaceae,HERB
Fabaceae cf. Oxitropis,Fabaceae,HERB
Fabaceae p.p.,Fabaceae,HERB
Fabaceae pro parte,Fabaceae,INUN
Fabaceae subf. Faboideae,Fabaceae,HERB
Fabaceae tribe Psoraleae,Fabaceae,HERB
Fabaceae..herb.,Fabaceae,HERB
Fabaceae..shrub.,Fabaceae,HERB
Fabaceae..tree.,Fabaceae,HERB
Fabaceae..unclear.,Fabaceae,HERB
Fabaceaeundiff.,Fabaceae,HERB
LEGUMINOSAE,Fabaceae,HERB
Leguminosae,Fabaceae,HERB
Leguminosae undiff.,Fabaceae,HERB
Papilionaceae,Fabaceae,HERB
Paplionaceae,Fabaceae,HERB
Vicia-type,Fabaceae,HERB
Fabaceae indet.,Fabaceae undiff.,HERB
Fabaceae undif.,Fabaceae undiff.,HERB
Fabaceae undiff.,Fabaceae undiff.,HERB
Fabaceae undiff.,Fabaceae undiff.,INUN
Fabaceae undiff. type,Fabaceae undiff.,HERB
Castanea+Castanopsis+Cyclobalanopsis,Fagaceae,TRSH
Castanea+Quercus,Fagaceae,TRSH
Castanea-Castanopsis,Fagaceae,TRSH
Castanea/Castanopsis,Fagaceae,TRSH
Castanopsis+Quercus,Fagaceae,TRSH
Castanopsis-Castanea,Fagaceae,TRSH
Castanopsis-Pasania,Fagaceae,TRSH
Fagaceae,Fagaceae,TRSH
Fagopirum,Fagopyrum,HERB
Fagopyrum,Fagopyrum,HERB
Fagopyrum esculentum-type,Fagopyrum,HERB
Fagopyrum esculentum,Fagopyrum esculentum,HERB
Fagopyrum tataricum,Fagopyrum tataricum,HERB
FAGUS,Fagus,TRSH
Fagus,Fagus,TRSH
Fagus clumps,Fagus,TRSH
Fagus clumps of two,Fagus,TRSH
Fagus crenata type,Fagus,TRSH
Fagus japonica type,Fagus,TRSH
Fagus orientalis,Fagus,TRSH
Fagus syl,Fagus,TRSH
Fagus sylvatica,Fagus,TRSH
Anethum-type,Falcaria-type,HERB
Falcaria,Falcaria-type,HERB
Falcaria vulgaris-type,Falcaria-type,HERB
Falcaria-type,Falcaria-type,HERB
Bilderdykia convolvulus,Fallopia,HERB
Bilderdykia convolvulus-type,Fallopia,HERB
Bilderdykia convolvulus/B. dumetorum,Fallopia,HERB
Fallopia,Fallopia,HERB
Fallopia convolvulus,Fallopia,HERB
Fallopia convolvulus-type,Fallopia,HERB
Polygonum convolvulus,Fallopia,HERB
Polygonum convolvulus-type,Fallopia,HERB
Ficus,Ficus,TRSH
Ficus carica,Ficus carica,TRSH
Filifolium,Filifolium,HERB
Filinia,Filinia,NOPO
Filinia,Filinia,ROTI
FILIPENDULA,Filipendula,HERB
Fili-dula,Filipendula,HERB
Filipendula,Filipendula,HERB
Filipendula ulmaria,Filipendula,HERB
Filipendula vulgaris,Filipendula,HERB
Filipendula-type,Filipendula,HERB
cf. Filipendula,Filipendula,HERB
Flacourtia,Flacourtia,TRSH
Flacourtiaceae,Flacourtiaceae,TRSH
Securinega tinctoria t.,Flueggea,TRSH
Securinega tinctoria-type,Flueggea,TRSH
Fontanesia,Fontanesia philliraeoides,TRSH
Foram,Foraminifera,INVE
Foraminifera,Foraminifera,INVE
Foraminifera,Foraminifera,NOPO
foraminiferal linings,Foraminifera,INVE
Forsythia europea type,Forsythia,TRSH
Fothergilla major,Fothergilla major,HERB
Frangula,Frangula alnus,TRSH
Frangula alnus,Frangula alnus,TRSH
Rhamnus frangula,Frangula alnus,TRSH
Frankenia,Frankenia,HERB
Frankenia hirsuta-type,Frankenia,HERB
FRAXINUS,Fraxinus,TRSH
Fraxinus,Fraxinus,TRSH
Fraxinus undiff.,Fraxinus,TRSH
Fraxinus angustifolia,Fraxinus angustifolia,TRSH
Fraxinus angustifolia subsp. oxycarpa,Fraxinus angustifolia,TRSH
Fraxinus angustifolia-type,Fraxinus angustifolia,TRSH
Fraxinus cf. F. oxycarpa,Fraxinus angustifolia,TRSH
F. excelsior,Fraxinus excelsior-type,TRSH
Fraxinus exc. type,Fraxinus excelsior-type,TRSH
Fraxinus excelsior,Fraxinus excelsior-type,TRSH
Fraxinus excelsior  type,Fraxinus excelsior-type,TRSH
Fraxinus excelsior type,Fraxinus excelsior-type,TRSH
Fraxinus excelsior-t.,Fraxinus excelsior-type,TRSH
Fraxinus excelsior-type,Fraxinus excelsior-type,TRSH
Fraxinus-mandshurica,Fraxinus mandshurica,TRSH
F. ornus,Fraxinus ornus,TRSH
FRAXINUS ORNUS t.,Fraxinus ornus,TRSH
FRAXINUS ORNUS type,Fraxinus ornus,TRSH
Fraxinus cf. F. ornus,Fraxinus ornus,TRSH
Fraxinus ornus,Fraxinus ornus,TRSH
Fraxinus ornus type,Fraxinus ornus,TRSH
Fraxinus ornus-type,Fraxinus ornus,TRSH
Fraxinusornus,Fraxinus ornus,TRSH
Fraxinus sogdiana,Fraxinus sogdiana,TRSH
Fritillaria,Fritillaria,HERB
Fritillaria lusitanica,Fritillaria,HERB
Fumana,Fumana,TRSH
Fumaria,Fumaria,HERB
Fumaria officinalis t.,Fumaria,HERB
Fumaria officinalis-type,Fumaria,HERB
Fumariaceae,Fumaria,HERB
Fungal Hyphae,Fungal Hyphae,FUNG
Hiphae,Fungal Hyphae,FUNG
Hyphopodium,Fungal Hyphae,FUNG
Fungal spore undet.,Fungal spore,FUNG
Fungal spores,Fungal spore,FUNG
Fungal spores,Fungal spore,VACR
cf. Ustulina deusta,Fungal spore,FUNG
Asterosporium,Fungi,FUNG
Delitschia,Fungi,FUNG
Fungi,Fungi,FUNG
Geumannomyces,Fungi,FUNG
Gaeumannomyces cf. G. caricis,Gaeumannomyces cf. caricis,FUNG
Gaeumannomyces cf. caricis,Gaeumannomyces cf. caricis,FUNG
Galega-type,Galega-type,HERB
Galeopsis,Galeopsis-type,HERB
Galeopsis t.,Galeopsis-type,HERB
Galeopsis-type,Galeopsis-type,HERB
Stachys,Galeopsis-type,HERB
Stachys sylvatica type,Galeopsis-type,HERB
Stachys sylvatica-type,Galeopsis-type,HERB
Stachys sylvestris,Galeopsis-type,HERB
Stachys type,Galeopsis-type,HERB
Stachys-type,Galeopsis-type,HERB
Stahhys sylvatica type,Galeopsis-type,HERB
Galeopsis/Ballota-type,Galeopsis/Ballota-type,HERB
Stachys (Galeopsis - Ballota - Gruppe),Galeopsis/Ballota-type,HERB
Gal._ul-um,Galium uliginosum,HERB
Garcinia,Garcinia,TRSH
Gardenia,Gardenia,TRSH
Gelasinospora,Gelasinospora,FUNG
Genisteae,Genista-group,TRSH
Alhagi,Genista-type,TRSH
Calycotome,Genista-type,TRSH
Cytisus,Genista-type,TRSH
Cytisus/Genista-type,Genista-type,HERB
Cytisus/Genista-type,Genista-type,TRSH
Fabaceae genista type,Genista-type,TRSH
Genista,Genista-type,TRSH
Genista t.,Genista-type,TRSH
Genista-type,Genista-type,TRSH
Genista/Cytisus,Genista-type,HERB
Genista/Cytisus-type,Genista-type,TRSH
Genista/Ulex,Genista-type,TRSH
Genista/Ulex-type,Genista-type,TRSH
Sarothamnus scoparius,Genista-type,TRSH
Ulex,Genista-type,TRSH
Ulex type,Genista-type,TRSH
Ulex-type,Genista-type,TRSH
Ulex/Cytisus-type,Genista-type,TRSH
Gentiana,Gentiana,HERB
Gentiana indet.,Gentiana,HERB
Gentiana lutea/G. pneumonanthe,Gentiana lutea/G. pneumonanthe,HERB
Gentiana nivalis-type,Gentiana nivalis,HERB
Gentiana pneumonanthe,Gentiana pneumonanthe-type,HERB
Gentiana pneumonanthe t.,Gentiana pneumonanthe-type,HERB
Gentiana pneumonanthe type,Gentiana pneumonanthe-type,HERB
Gentiana pneumonanthe-type,Gentiana pneumonanthe-type,HERB
Gentiana purpurea-type,Gentiana pneumonanthe-type,HERB
Gentiana-pneumonanthe,Gentiana pneumonanthe-type,HERB
Gentiana purpurea,Gentiana purpurea,HERB
Gentiana verna-type,Gentiana verna,HERB
Gentianaceae,Gentianaceae,HERB
Gentinaceae,Gentianaceae,HERB
cf. Centaurium,Gentianaceae,INUN
cf. Gentiana,Gentianaceae,HERB
Gentianella,Gentianella campestris-type,HERB
Gentianella campestris-type,Gentianella campestris-type,HERB
Gentianella germanica typt,Gentianella campestris-type,HERB
Gentianella germanica-type,Gentianella campestris-type,HERB
Gentianella-campestris,Gentianella campestris-type,HERB
Gentianella tenella-type,Gentianella tenella-type,HERB
Geran-eae,Geraniaceae,HERB
Geraniaceae,Geraniaceae,HERB
Geraniaceae undiff.,Geraniaceae,HERB
Gerianiaceae,Geraniaceae,HERB
GERANIUM,Geranium,HERB
Geranium,Geranium,HERB
Geranium t.,Geranium,HERB
Geranium-type,Geranium,HERB
Geranium sylvaticum-type,Geranium pratense-type,HERB
Gerianiaceae,Gerianiaceae,HERB
Gesneriaceae,Gesneriaceae,UPHE
GEUM,Geum-type,HERB
Galium typ,Geum-type,HERB
Geum,Geum-type,HERB
Geum T,Geum-type,HERB
Geum cf. G. rivale,Geum-type,HERB
Geum typ,Geum-type,HERB
Geum type,Geum-type,HERB
Geum-type,Geum-type,HERB
Ginkgo,Ginkgo,TRSH
Gironniera,Gironniera,TRSH
Gladiolus,Gladiolus/Romulea,HERB
Glaucium,Glaucium,HERB
Glaucium type,Glaucium,HERB
Glaucium-type,Glaucium,HERB
Glaux,Glaux maritima,HERB
Gleditsia,Gleditsia,TRSH
Globularia,Globularia,HERB
Glochidion,Glochidion,TRSH
Gloeotrichia,Gloeotrichia,CYAN
GLOMUS,Glomus,FUNG
Glomus,Glomus,FUNG
Glomus cf. G. fasciculatum,Glomus cf. fasciculatum,FUNG
Glomus cf. fasciculatum,Glomus cf. fasciculatum,FUNG
Type 207 Glomus cf. Fasciculatum,Glomus cf. fasciculatum,FUNG
Glycyrrhiza,Glycyrrhiza,HERB
Erigeron,Gnaphalium-type,HERB
Evax,Gnaphalium-type,HERB
Filago-type,Gnaphalium-type,HERB
Gnaphalium,Gnaphalium-type,HERB
Gnaphalium-type,Gnaphalium-type,HERB
Gordonia,Gordonia,TRSH
Grammitis,Grammitis,VACR
Gratiola officinalis,Gratiola officinalis,HERB
GYMNOCARPIUM DRYOPTERIS,Gymnocarpium dryopteris,VACR
Gymnocarpium,Gymnocarpium dryopteris,VACR
Gymnocarpium dryopteris,Gymnocarpium dryopteris,VACR
Gymnocarpium dryopteris type,Gymnocarpium dryopteris,VACR
Gymnocarpium/Dryopteris,Gymnocarpium dryopteris,VACR
Gipsofilla,Gypsophila repens-type,HERB
Gypsophila,Gypsophila repens-type,HERB
Gypsophila fastigiata,Gypsophila repens-type,HERB
Gypsophila repens-type,Gypsophila repens-type,HERB
Gypsophila-type,Gypsophila repens-type,HERB
Gypsophilla repens,Gypsophila repens-type,HERB
Gyratrix hermaphroditus,Gyratrix hermaphroditus,PLAT
Gyratrix hermaphroditus 1A,Gyratrix hermaphroditus 1A,PLAT
Halimium,Halimium,DWAR
Halimium-type,Halimium,DWAR
Halimium/Tuberaria,Halimium/Tuberaria,HERB
Haloragaceae,Haloragaceae,UPHE
Hamamelidaceae,Hamamelidaceae,TRSH
Hamamelis,Hamamelis,TRSH
Haplophyllum,Haplophyllum,HERB
Haplophyllum,Haplophyllum,TRSH
HdV 114,HdV 114,INUN
HdV 126 G,HdV 126 G,INUN
